time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK
57,0.3333333333333333,0.32573289902280134,0.3448275862068966,0.35714285714285715,0.36363636363636365,0.33003300330033003,0.3115264797507788,0.3663003663003663,0.2958579881656805,0.3952569169960475,0.3058103975535168,0.3333333333333333,0.2881844380403458,0.3048780487804878,0.390625,0.31746031746031744,0.29325513196480935,0.3831417624521073,0.3717472118959108,0.3115264797507788,0.3831417624521073,0.37453183520599254,0.28328611898017,0.35714285714285715,0.33783783783783783,0.32894736842105265,0.3787878787878788
58,0.31545741324921134,0.3125,0.33557046979865773,0.3472222222222222,0.35714285714285715,0.32573289902280134,0.30959752321981426,0.3663003663003663,0.2777777777777778,0.39370078740157477,0.29850746268656714,0.3215434083601286,0.2840909090909091,0.2857142857142857,0.36363636363636365,0.30959752321981426,0.2785515320334262,0.3802281368821293,0.3731343283582089,0.3048780487804878,0.3802281368821293,0.36496350364963503,0.26881720430107525,0.3484320557491289,0.33783783783783783,0.303951367781155,0.3663003663003663
59,0.31347962382445144,0.3048780487804878,0.3333333333333333,0.341296928327645,0.35211267605633806,0.3246753246753247,0.30959752321981426,0.36496350364963503,0.26595744680851063,0.39370078740157477,0.29411764705882354,0.3115264797507788,0.28328611898017,0.27548209366391185,0.3424657534246575,0.30303030303030304,0.2680965147453083,0.37735849056603776,0.37453183520599254,0.3021148036253776,0.3802281368821293,0.35714285714285715,0.25380710659898476,0.3484320557491289,0.341296928327645,0.2881844380403458,0.35211267605633806
60,0.3225806451612903,0.30303030303030304,0.3508771929824561,0.3401360544217687,0.3508771929824561,0.32679738562091504,0.3115264797507788,0.36496350364963503,0.2590673575129534,0.3921568627450981,0.29154518950437314,0.30303030303030304,0.29154518950437314,0.273972602739726,0.33444816053511706,0.29850746268656714,0.2645502645502646,0.3731343283582089,0.37593984962406013,0.30303030303030304,0.3831417624521073,0.35211267605633806,0.24937655860349128,0.3663003663003663,0.3460207612456747,0.2849002849002849,0.3508771929824561
61,0.33222591362126247,0.3076923076923077,0.36496350364963503,0.3460207612456747,0.35335689045936397,0.33222591362126247,0.31347962382445144,0.36900369003690037,0.25641025641025644,0.3921568627450981,0.29239766081871343,0.29940119760479045,0.3058103975535168,0.2849002849002849,0.3460207612456747,0.2958579881656805,0.2680965147453083,0.37037037037037035,0.3731343283582089,0.3067484662576687,0.38759689922480617,0.3496503496503497,0.24752475247524752,0.37735849056603776,0.3508771929824561,0.3048780487804878,0.35714285714285715
62,0.3401360544217687,0.3184713375796178,0.37453183520599254,0.35587188612099646,0.36101083032490977,0.3389830508474576,0.31545741324921134,0.37037037037037035,0.25641025641025644,0.3921568627450981,0.2976190476190476,0.2976190476190476,0.3125,0.30120481927710846,0.35714285714285715,0.2949852507374631,0.2808988764044944,0.3663003663003663,0.37037037037037035,0.3115264797507788,0.390625,0.3484320557491289,0.2469135802469136,0.3861003861003861,0.35335689045936397,0.3278688524590164,0.3597122302158274
63,0.3508771929824561,0.32894736842105265,0.38167938931297707,0.3663003663003663,0.3663003663003663,0.3436426116838488,0.3164556962025316,0.37037037037037035,0.2631578947368421,0.3921568627450981,0.3058103975535168,0.30303030303030304,0.31746031746031744,0.31347962382445144,0.3597122302158274,0.29673590504451036,0.28901734104046245,0.36101083032490977,0.3663003663003663,0.3125,0.3921568627450981,0.3508771929824561,0.2469135802469136,0.3921568627450981,0.3546099290780142,0.33670033670033667,0.3597122302158274
64,0.3623188405797102,0.33557046979865773,0.38759689922480617,0.3731343283582089,0.3717472118959108,0.3472222222222222,0.3164556962025316,0.36900369003690037,0.2717391304347826,0.390625,0.3125,0.3076923076923077,0.3205128205128205,0.3225806451612903,0.35587188612099646,0.29940119760479045,0.29411764705882354,0.35587188612099646,0.3623188405797102,0.3125,0.3921568627450981,0.3546099290780142,0.24875621890547267,0.3968253968253968,0.35587188612099646,0.341296928327645,0.36363636363636365
65,0.37037037037037035,0.341296928327645,0.3921568627450981,0.37735849056603776,0.37735849056603776,0.3496503496503497,0.3164556962025316,0.3663003663003663,0.2785515320334262,0.38910505836575876,0.3184713375796178,0.3115264797507788,0.3225806451612903,0.33003300330033003,0.35211267605633806,0.3003003003003003,0.29940119760479045,0.3546099290780142,0.3597122302158274,0.31347962382445144,0.390625,0.35714285714285715,0.25252525252525254,0.4,0.35842293906810035,0.3436426116838488,0.37037037037037035
66,0.37735849056603776,0.3448275862068966,0.39840637450199207,0.3787878787878788,0.38167938931297707,0.35211267605633806,0.31746031746031744,0.36363636363636365,0.2840909090909091,0.38910505836575876,0.3225806451612903,0.31446540880503143,0.3246753246753247,0.33557046979865773,0.35714285714285715,0.29940119760479045,0.303951367781155,0.3546099290780142,0.3597122302158274,0.31347962382445144,0.390625,0.3597122302158274,0.25641025641025644,0.40322580645161293,0.36101083032490977,0.341296928327645,0.37735849056603776
67,0.3831417624521073,0.3484320557491289,0.4016064257028112,0.3802281368821293,0.3846153846153846,0.35211267605633806,0.31746031746031744,0.3623188405797102,0.28901734104046245,0.390625,0.32573289902280134,0.31746031746031744,0.3278688524590164,0.3401360544217687,0.36496350364963503,0.29850746268656714,0.30864197530864196,0.35587188612099646,0.35842293906810035,0.31347962382445144,0.390625,0.36101083032490977,0.2617801047120419,0.4048582995951417,0.36496350364963503,0.3448275862068966,0.3831417624521073
68,0.390625,0.3508771929824561,0.4048582995951417,0.3802281368821293,0.390625,0.3546099290780142,0.3184713375796178,0.36363636363636365,0.29411764705882354,0.3921568627450981,0.32894736842105265,0.3194888178913738,0.32894736842105265,0.341296928327645,0.3731343283582089,0.2976190476190476,0.31446540880503143,0.35714285714285715,0.35842293906810035,0.31347962382445144,0.3921568627450981,0.36101083032490977,0.26595744680851063,0.4048582995951417,0.3676470588235294,0.35714285714285715,0.38759689922480617
69,0.390625,0.3546099290780142,0.4081632653061224,0.3802281368821293,0.39370078740157477,0.35587188612099646,0.3194888178913738,0.36363636363636365,0.29940119760479045,0.39370078740157477,0.3333333333333333,0.3194888178913738,0.33112582781456956,0.3496503496503497,0.3802281368821293,0.29673590504451036,0.3205128205128205,0.35842293906810035,0.36101083032490977,0.31545741324921134,0.39370078740157477,0.36101083032490977,0.2710027100271003,0.4065040650406504,0.3717472118959108,0.36900369003690037,0.38910505836575876
70,0.38910505836575876,0.35842293906810035,0.4098360655737705,0.3802281368821293,0.39840637450199207,0.3597122302158274,0.3194888178913738,0.36496350364963503,0.303951367781155,0.3921568627450981,0.33783783783783783,0.3184713375796178,0.33112582781456956,0.35587188612099646,0.3861003861003861,0.2949852507374631,0.3278688524590164,0.3597122302158274,0.36101083032490977,0.3194888178913738,0.39840637450199207,0.36101083032490977,0.27624309392265195,0.4065040650406504,0.37593984962406013,0.3802281368821293,0.38759689922480617
71,0.38759689922480617,0.36101083032490977,0.4098360655737705,0.3787878787878788,0.4016064257028112,0.3623188405797102,0.3194888178913738,0.36496350364963503,0.3076923076923077,0.3921568627450981,0.341296928327645,0.3164556962025316,0.33003300330033003,0.3623188405797102,0.390625,0.29325513196480935,0.33222591362126247,0.3597122302158274,0.36101083032490977,0.3215434083601286,0.39840637450199207,0.3597122302158274,0.2808988764044944,0.4065040650406504,0.3787878787878788,0.390625,0.38759689922480617
72,0.3846153846153846,0.3623188405797102,0.4098360655737705,0.3802281368821293,0.4065040650406504,0.36363636363636365,0.3184713375796178,0.3676470588235294,0.3115264797507788,0.39370078740157477,0.3448275862068966,0.31545741324921134,0.32894736842105265,0.3717472118959108,0.39370078740157477,0.28901734104046245,0.33670033670033667,0.3623188405797102,0.36363636363636365,0.3236245954692557,0.4,0.3597122302158274,0.2849002849002849,0.4065040650406504,0.3802281368821293,0.4,0.3861003861003861
73,0.3846153846153846,0.3623188405797102,0.4065040650406504,0.38167938931297707,0.4048582995951417,0.3663003663003663,0.31746031746031744,0.36900369003690037,0.31446540880503143,0.39370078740157477,0.3496503496503497,0.31347962382445144,0.32573289902280134,0.37593984962406013,0.3921568627450981,0.2849002849002849,0.3389830508474576,0.36101083032490977,0.3663003663003663,0.32573289902280134,0.4,0.3597122302158274,0.2881844380403458,0.4048582995951417,0.38167938931297707,0.4098360655737705,0.3846153846153846
74,0.3831417624521073,0.36101083032490977,0.40322580645161293,0.38167938931297707,0.4065040650406504,0.3663003663003663,0.3194888178913738,0.3717472118959108,0.31545741324921134,0.39370078740157477,0.35335689045936397,0.3115264797507788,0.3225806451612903,0.3787878787878788,0.38910505836575876,0.2824858757062147,0.3401360544217687,0.3597122302158274,0.3676470588235294,0.32573289902280134,0.4,0.3597122302158274,0.29154518950437314,0.40322580645161293,0.38167938931297707,0.4166666666666667,0.3861003861003861
75,0.3831417624521073,0.3597122302158274,0.39840637450199207,0.38167938931297707,0.4098360655737705,0.3676470588235294,0.3215434083601286,0.3731343283582089,0.31746031746031744,0.3968253968253968,0.35842293906810035,0.3076923076923077,0.3194888178913738,0.38167938931297707,0.3846153846153846,0.27932960893854747,0.3424657534246575,0.3597122302158274,0.3676470588235294,0.32573289902280134,0.4016064257028112,0.35714285714285715,0.29411764705882354,0.40322580645161293,0.3831417624521073,0.41841004184100417,0.38910505836575876
76,0.3831417624521073,0.35842293906810035,0.390625,0.38167938931297707,0.4132231404958678,0.36900369003690037,0.3225806451612903,0.3731343283582089,0.3184713375796178,0.3952569169960475,0.36101083032490977,0.30303030303030304,0.30864197530864196,0.3846153846153846,0.3846153846153846,0.27624309392265195,0.3448275862068966,0.3597122302158274,0.36900369003690037,0.32573289902280134,0.4016064257028112,0.35714285714285715,0.2958579881656805,0.40322580645161293,0.3846153846153846,0.41841004184100417,0.390625
77,0.3831417624521073,0.35335689045936397,0.3802281368821293,0.3802281368821293,0.4166666666666667,0.37037037037037035,0.3246753246753247,0.3731343283582089,0.3205128205128205,0.3952569169960475,0.36363636363636365,0.29850746268656714,0.2949852507374631,0.3846153846153846,0.3846153846153846,0.273972602739726,0.3472222222222222,0.35714285714285715,0.3663003663003663,0.3236245954692557,0.4016064257028112,0.35587188612099646,0.2976190476190476,0.3968253968253968,0.3861003861003861,0.41493775933609955,0.38759689922480617
78,0.3802281368821293,0.3448275862068966,0.36900369003690037,0.37593984962406013,0.4115226337448559,0.36900369003690037,0.3246753246753247,0.37037037037037035,0.3215434083601286,0.3952569169960475,0.36363636363636365,0.2958579881656805,0.27932960893854747,0.3717472118959108,0.37735849056603776,0.2710027100271003,0.3424657534246575,0.35335689045936397,0.3623188405797102,0.3215434083601286,0.40322580645161293,0.3546099290780142,0.29940119760479045,0.3831417624521073,0.38759689922480617,0.39370078740157477,0.38167938931297707
79,0.37453183520599254,0.3333333333333333,0.3597122302158274,0.37037037037037035,0.3952569169960475,0.3623188405797102,0.3225806451612903,0.36900369003690037,0.31545741324921134,0.39370078740157477,0.3546099290780142,0.29411764705882354,0.26666666666666666,0.35587188612099646,0.36101083032490977,0.2695417789757412,0.32894736842105265,0.3472222222222222,0.35587188612099646,0.31545741324921134,0.40322580645161293,0.3508771929824561,0.3021148036253776,0.36900369003690037,0.3861003861003861,0.37037037037037035,0.3717472118959108
80,0.3663003663003663,0.3215434083601286,0.35211267605633806,0.36363636363636365,0.38167938931297707,0.35335689045936397,0.31746031746031744,0.37037037037037035,0.30120481927710846,0.39370078740157477,0.341296928327645,0.2898550724637681,0.2604166666666667,0.33444816053511706,0.3436426116838488,0.267379679144385,0.31446540880503143,0.3401360544217687,0.3508771929824561,0.3058103975535168,0.3968253968253968,0.3448275862068966,0.29850746268656714,0.35842293906810035,0.3802281368821293,0.3460207612456747,0.36363636363636365
81,0.36101083032490977,0.30959752321981426,0.3472222222222222,0.35842293906810035,0.37037037037037035,0.341296928327645,0.3105590062111801,0.3717472118959108,0.2849002849002849,0.39370078740157477,0.3246753246753247,0.2849002849002849,0.2604166666666667,0.3125,0.32894736842105265,0.26525198938992045,0.3003003003003003,0.33670033670033667,0.3484320557491289,0.2949852507374631,0.390625,0.3389830508474576,0.2849002849002849,0.35335689045936397,0.3731343283582089,0.3246753246753247,0.35714285714285715
82,0.35842293906810035,0.3003003003003003,0.3460207612456747,0.35335689045936397,0.3623188405797102,0.33003300330033003,0.3058103975535168,0.37453183520599254,0.2710027100271003,0.3968253968253968,0.3067484662576687,0.27932960893854747,0.2617801047120419,0.3021148036253776,0.3215434083601286,0.2631578947368421,0.2898550724637681,0.33670033670033667,0.3496503496503497,0.28653295128939826,0.3846153846153846,0.33444816053511706,0.2680965147453083,0.3508771929824561,0.37037037037037035,0.31446540880503143,0.3496503496503497
83,0.35842293906810035,0.29239766081871343,0.3496503496503497,0.35335689045936397,0.35587188612099646,0.3236245954692557,0.3021148036253776,0.3787878787878788,0.2631578947368421,0.39840637450199207,0.29411764705882354,0.27322404371584696,0.2645502645502646,0.3003003003003003,0.3184713375796178,0.2604166666666667,0.2849002849002849,0.3424657534246575,0.35335689045936397,0.2801120448179272,0.38167938931297707,0.3333333333333333,0.25252525252525254,0.3546099290780142,0.3717472118959108,0.30959752321981426,0.3436426116838488
84,0.35842293906810035,0.2881844380403458,0.35587188612099646,0.3546099290780142,0.35335689045936397,0.3205128205128205,0.29850746268656714,0.3802281368821293,0.2577319587628866,0.4016064257028112,0.2881844380403458,0.26881720430107525,0.2695417789757412,0.30120481927710846,0.3205128205128205,0.2577319587628866,0.28328611898017,0.3472222222222222,0.3546099290780142,0.2770083102493075,0.38167938931297707,0.33444816053511706,0.24813895781637715,0.36363636363636365,0.3802281368821293,0.30959752321981426,0.3448275862068966
85,0.3623188405797102,0.28653295128939826,0.36363636363636365,0.35587188612099646,0.35714285714285715,0.3205128205128205,0.2949852507374631,0.3802281368821293,0.25510204081632654,0.40322580645161293,0.2881844380403458,0.26525198938992045,0.27624309392265195,0.3058103975535168,0.32573289902280134,0.25641025641025644,0.28735632183908044,0.3508771929824561,0.35587188612099646,0.27624309392265195,0.3802281368821293,0.3389830508474576,0.2469135802469136,0.36900369003690037,0.3861003861003861,0.3194888178913738,0.3484320557491289
86,0.3663003663003663,0.2881844380403458,0.37037037037037035,0.35714285714285715,0.3802281368821293,0.3205128205128205,0.29069767441860467,0.3787878787878788,0.2557544757033248,0.4048582995951417,0.3003003003003003,0.2645502645502646,0.2857142857142857,0.31446540880503143,0.33222591362126247,0.25510204081632654,0.3058103975535168,0.3546099290780142,0.35587188612099646,0.2770083102493075,0.37593984962406013,0.3424657534246575,0.2469135802469136,0.37453183520599254,0.38910505836575876,0.33783783783783783,0.35211267605633806
